profile	panel_size	shared_genes	genes_replaced	jaccard	removed_genes	added_genes
backbone_balanced	5	2	3	0.25	EOG092602I6,EOG092603YJ,EOG092606O3	EOG092604A0,EOG092604ML,EOG09260779
core_complete	5	3	2	0.42857142857142855	EOG0926049A,EOG09260BSW	EOG09261HB6,EOG09263UQF
deep_robust	5	3	2	0.42857142857142855	EOG092603YJ,EOG0926049A	EOG09261HB6,EOG09263UQF
diverse_rate	5	3	2	0.42857142857142855	EOG092603YJ,EOG092609O9	EOG0926051U,EOG0926420U
information_only	5	5	0	1.0		
low_bias	5	3	2	0.42857142857142855	EOG092602I6,EOG092603YJ	EOG09260779,EOG09263UQF
occupancy_only	5	3	2	0.42857142857142855	EOG09264PMA,EOG09265H9T	EOG09261HB6,EOG09265G9U
random_matched	5	5	0	1.0		
backbone_balanced	10	7	3	0.5384615384615384	EOG092602I6,EOG092603YJ,EOG092609O9	EOG09261HB6,EOG09262JZK,EOG09262SI7
core_complete	10	7	3	0.5384615384615384	EOG092602I6,EOG092609O9,EOG09260BSW	EOG09263BGW,EOG09263UQF,EOG09264SSI
deep_robust	10	8	2	0.6666666666666666	EOG092603YJ,EOG09260779	EOG09261HB6,EOG09263UQF
diverse_rate	10	8	2	0.6666666666666666	EOG092603YJ,EOG09260EOI	EOG0926051U,EOG0926420U
information_only	10	9	1	0.8181818181818182	EOG09261DG0	EOG09260JNY
low_bias	10	6	4	0.42857142857142855	EOG092602OP,EOG092603YJ,EOG09260BSW,EOG09260GF5	EOG092604ML,EOG09261HB6,EOG09263UQF,EOG0926420U
occupancy_only	10	8	2	0.6666666666666666	EOG092642UD,EOG09264PMA	EOG09261HB6,EOG092646CB
random_matched	10	10	0	1.0		
