panel_1	panel_2	n_panel_1	n_panel_2	intersection	jaccard
backbone_balanced	core_complete	10	10	8	0.6666666666666666
deep_robust	low_bias	10	10	8	0.6666666666666666
backbone_balanced	deep_robust	10	10	7	0.5384615384615384
backbone_balanced	diverse_rate	10	10	7	0.5384615384615384
backbone_balanced	low_bias	10	10	6	0.42857142857142855
core_complete	deep_robust	10	10	6	0.42857142857142855
core_complete	low_bias	10	10	6	0.42857142857142855
deep_robust	diverse_rate	10	10	6	0.42857142857142855
diverse_rate	low_bias	10	10	6	0.42857142857142855
core_complete	diverse_rate	10	10	5	0.3333333333333333
backbone_balanced	information_only	10	10	3	0.17647058823529413
core_complete	information_only	10	10	2	0.1111111111111111
diverse_rate	information_only	10	10	2	0.1111111111111111
backbone_balanced	occupancy_only	10	10	1	0.05263157894736842
core_complete	occupancy_only	10	10	1	0.05263157894736842
deep_robust	occupancy_only	10	10	1	0.05263157894736842
backbone_balanced	random_matched	10	10	0	0.0
core_complete	random_matched	10	10	0	0.0
deep_robust	information_only	10	10	0	0.0
deep_robust	random_matched	10	10	0	0.0
diverse_rate	occupancy_only	10	10	0	0.0
diverse_rate	random_matched	10	10	0	0.0
information_only	low_bias	10	10	0	0.0
information_only	occupancy_only	10	10	0	0.0
information_only	random_matched	10	10	0	0.0
low_bias	occupancy_only	10	10	0	0.0
low_bias	random_matched	10	10	0	0.0
occupancy_only	random_matched	10	10	0	0.0
