profile	gene_id	trimming_class	retained_length_fraction	pis_retained_fraction	length_raw	length_trimmed	pis_raw	pis_trimmed
backbone_balanced	EOG0926051U	stable	0.9398849973863044	0.9991394148020654	1913	1798	1162	1161
backbone_balanced	EOG092602I6	stable	0.9581019687026754	0.9883381924198252	1981	1898	686	678
backbone_balanced	EOG092606O3	sensitive	0.6627953544253103	0.95448798988622	2497	1655	791	755
backbone_balanced	EOG092603YJ	stable	0.9429028815368196	0.9821002386634844	1874	1767	838	823
backbone_balanced	EOG0926420U	stable	0.8894348894348895	0.9875	407	362	160	158
backbone_balanced	EOG09260779	stable	0.9714484679665738	0.9945872801082544	1436	1395	739	735
backbone_balanced	EOG092604ML	sensitive	0.6178010471204188	0.8484596169858452	2674	1652	1201	1019
backbone_balanced	EOG092604A0	sensitive	0.6473149492017417	0.9070904645476772	2756	1784	1227	1113
backbone_balanced	EOG092609O9	stable	0.8065934065934066	0.985969387755102	2275	1835	784	773
backbone_balanced	EOG0926049A	stable	0.9367167919799498	0.9666182873730044	1596	1495	689	666
core_complete	EOG092606O3	sensitive	0.6627953544253103	0.95448798988622	2497	1655	791	755
core_complete	EOG0926420U	stable	0.8894348894348895	0.9875	407	362	160	158
core_complete	EOG09260779	stable	0.9714484679665738	0.9945872801082544	1436	1395	739	735
core_complete	EOG09260BSW	stable	0.9404145077720208	0.970108695652174	1158	1089	368	357
core_complete	EOG0926049A	stable	0.9367167919799498	0.9666182873730044	1596	1495	689	666
core_complete	EOG0926051U	stable	0.9398849973863044	0.9991394148020654	1913	1798	1162	1161
core_complete	EOG092609O9	stable	0.8065934065934066	0.985969387755102	2275	1835	784	773
core_complete	EOG092604ML	sensitive	0.6178010471204188	0.8484596169858452	2674	1652	1201	1019
core_complete	EOG09261HB6	sensitive	0.5936395759717314	0.9170506912442395	849	504	217	199
core_complete	EOG092602I6	stable	0.9581019687026754	0.9883381924198252	1981	1898	686	678
deep_robust	EOG092606O3	sensitive	0.6627953544253103	0.95448798988622	2497	1655	791	755
deep_robust	EOG092603YJ	stable	0.9429028815368196	0.9821002386634844	1874	1767	838	823
deep_robust	EOG092609O9	stable	0.8065934065934066	0.985969387755102	2275	1835	784	773
deep_robust	EOG0926049A	stable	0.9367167919799498	0.9666182873730044	1596	1495	689	666
deep_robust	EOG0926420U	stable	0.8894348894348895	0.9875	407	362	160	158
