gene_id	same_taxon_ids	n_taxa_raw	n_taxa_trimmed	length_raw	length_trimmed	retained_length_fraction	variable_raw	variable_trimmed	pis_raw	pis_trimmed	pis_difference	pis_retained_fraction	entropy_raw	entropy_trimmed
EOG0926004Z	True	14	14	6033	4899	0.8120338140228742	4216	3917	3050	3019	-31	0.9898360655737705	1.0506512997911857	1.2227987240970004
EOG09260075	True	14	14	3682	3172	0.8614883215643672	1476	1431	950	930	-20	0.9789473684210527	0.4062588644815633	0.4519695370865039
EOG0926009O	True	14	14	3046	2815	0.9241628365068942	2378	2247	1774	1690	-84	0.9526493799323562	1.069722922106259	1.09095066388911
EOG092600NM	True	14	14	3203	2354	0.7349359975023415	483	361	167	167	0	1.0	0.11843971275508501	0.10932982156097591
EOG092600S9	True	14	14	3574	2587	0.7238388360380527	2394	2082	1585	1456	-129	0.9186119873817035	0.8724648351310869	1.0657998063612755
EOG092600SD	True	14	14	2975	2311	0.7768067226890756	1899	1733	1069	1063	-6	0.9943872778297475	0.807955676882773	0.9490648623341986
EOG092600SK	True	14	14	3582	2301	0.6423785594639866	2109	1760	1348	1300	-48	0.9643916913946587	0.7279182228957495	0.9576647670868551
EOG092600T4	True	14	14	2984	2270	0.7607238605898123	985	865	584	569	-15	0.9743150684931506	0.33054384129965136	0.3791662422775687
EOG092600T9	True	14	14	2206	2134	0.9673617407071623	580	577	344	343	-1	0.997093023255814	0.22172151098432366	0.22765098883491053
EOG092600W1	True	14	14	2623	2235	0.8520777735417461	1073	1033	646	640	-6	0.9907120743034056	0.40935162473350456	0.4566741201883666
EOG092600X0	True	14	14	3114	2492	0.8002569043031471	1981	1687	1310	1243	-67	0.9488549618320611	0.8610473010434524	0.926735681918097
EOG092600XJ	True	14	14	3108	2051	0.6599099099099099	1619	1267	949	881	-68	0.928345626975764	0.6323054893921776	0.7503555458964842
EOG092601KZ	True	14	14	2205	1112	0.5043083900226757	864	612	389	376	-13	0.9665809768637532	0.4000547966136296	0.5617558728883033
EOG092601YK	True	14	14	2765	2504	0.9056057866184448	1877	1776	1244	1225	-19	0.9847266881028939	0.8071730011863683	0.8435688757352504
EOG0926025H	True	13	13	2332	874	0.3747855917667238	1335	788	806	558	-248	0.6923076923076923	0.8561812104379068	1.2830640701525897
EOG09260274	True	14	14	1792	1540	0.859375	1457	1346	1073	1032	-41	0.961789375582479	1.1911341095116266	1.2930699321727506
EOG09260289	True	14	14	1863	1264	0.6784755770263017	1046	963	664	647	-17	0.9743975903614458	0.6722802997898454	0.9155546623039966
EOG092602BZ	True	14	14	2980	1673	0.5614093959731543	1105	635	401	397	-4	0.9900249376558603	0.3694681875424853	0.33624036445896915
EOG092602FH	True	14	14	2818	2598	0.921930447125621	1702	1599	947	943	-4	0.9957761351636748	0.783814050711142	0.80488906013421
EOG092602I6	True	14	14	1981	1898	0.9581019687026754	1043	1013	686	678	-8	0.9883381924198251	0.5932263958664094	0.6006253330215726
EOG092602MO	True	14	14	3173	1914	0.6032146233848094	1890	1494	1365	1133	-232	0.8300366300366301	0.8966462036657501	1.1515696821444785
EOG092602OP	True	14	14	1726	1585	0.9183082271147162	1118	1087	703	701	-2	0.9971550497866287	0.7258627249493804	0.7698611945377904
EOG092602UY	True	14	14	2288	1972	0.8618881118881119	1249	1122	782	743	-39	0.9501278772378516	0.6733964647514991	0.6935154871272257
EOG09260375	True	14	14	1536	1447	0.9420572916666666	794	768	492	482	-10	0.9796747967479674	0.5283178024124876	0.5330866572509605
EOG092603D0	True	14	14	2412	1127	0.4672470978441128	1313	974	649	621	-28	0.9568567026194145	0.6878126514483841	1.121205376627936
EOG092603EH	True	14	14	1583	1532	0.9677826910928616	749	736	488	488	0	1.0	0.5570916523024123	0.5678828411899062
EOG092603JK	True	14	14	2790	1607	0.5759856630824373	1988	1399	1475	1062	-413	0.72	1.1451545782796049	1.287197518141191
EOG092603KJ	True	14	14	1640	1148	0.7	705	563	379	374	-5	0.9868073878627969	0.5130429481857972	0.6000922420093325
EOG092603SM	True	14	14	1993	1561	0.7832413447064727	1354	1193	901	855	-46	0.9489456159822419	0.8941055363202569	1.0033295254252554
EOG092603YJ	True	13	13	1874	1767	0.9429028815368197	1349	1298	838	823	-15	0.9821002386634845	0.8260898769035732	0.8380323836272836
EOG0926047G	True	14	14	1601	1521	0.9500312304809494	711	699	461	456	-5	0.9891540130151844	0.47078293225641776	0.48459989735425296
EOG09260492	True	14	14	1535	1445	0.9413680781758957	867	863	523	522	-1	0.9980879541108987	0.5410350863587557	0.5717774612589644
EOG0926049A	True	14	14	1596	1495	0.9367167919799498	988	934	689	666	-23	0.9666182873730044	0.7715084301341014	0.7715164205655975
EOG0926049S	True	14	14	2607	2019	0.7744533947065593	1739	1590	1161	1156	-5	0.9956933677863911	0.8909651118287962	1.0733663372825941
EOG092604A0	True	14	14	2756	1784	0.6473149492017417	1700	1512	1227	1113	-114	0.9070904645476773	0.8326417048129883	1.131352959730546
EOG092604I8	True	13	13	3236	1719	0.5312113720642769	1775	1317	1132	1042	-90	0.9204946996466431	0.7747555525519737	1.143478350404069
EOG092604KQ	True	13	13	2405	1314	0.5463617463617464	1224	1034	772	691	-81	0.8950777202072538	0.6523911307831777	0.9639399595297026
EOG092604MJ	True	14	14	2195	1656	0.7544419134396355	1700	1473	1104	1088	-16	0.9855072463768116	1.119706222812587	1.3224411987304967
EOG092604ML	True	14	14	2674	1652	0.6178010471204188	1962	1401	1201	1019	-182	0.8484596169858452	0.903915222006169	1.1011767125073673
EOG092604S1	True	14	14	1490	1300	0.87248322147651	1129	1068	764	754	-10	0.9869109947643979	1.0941740386774812	1.1923177193729397
EOG092604ZZ	True	14	14	1307	1268	0.9701606732976281	972	967	694	693	-1	0.9985590778097982	0.9218969611583979	0.946613562172
EOG0926051U	True	14	14	1913	1798	0.9398849973863043	1601	1587	1162	1161	-1	0.9991394148020654	1.1871387261533164	1.254625297341386
