gene_id	eligible_untrimmed	eligible_trimmed	gap_untrimmed	gap_trimmed	length_untrimmed	length_trimmed	pis_untrimmed	pis_trimmed	occupancy_untrimmed	occupancy_trimmed	became_eligible	became_excluded	retained_length_fraction	pis_retained_fraction	pis_increase
EOG09260H81	True	True	0.2269296093602566	0.0487643158529234	1514	1185	546	547	1.0	1.0	False	False	0.7826948480845443	1.0018315018315018	1
EOG09260S3L	True	True	0.0919765166340508	0.0480707908163265	949	896	432	435	1.0	1.0	False	False	0.9441517386722866	1.0069444444444444	3
EOG09262QRH	True	True	0.549949609473419	0.5246642823402389	2268	2117	350	352	1.0	1.0	False	False	0.93342151675485	1.0057142857142858	2
EOG092639H5	True	True	0.2058226134055518	0.1207723372034326	633	566	182	184	1.0	1.0	False	False	0.8941548183254344	1.010989010989011	2
EOG09264T1U	False	True	0.7173008988060636	0.0143398268398268	2033	336	97	101	0.7857142857142857	0.7857142857142857	True	False	0.1652729955730447	1.041237113402062	4
