profile	status	gene_id	old_profile_score	new_profile_score	trimming_class	trimming_stability_score	taxon_occupancy	alignment_length	gap_fraction	parsimony_informative_sites	pis_per_length	composition_variability
backbone_balanced	removed	EOG092602I6			stable	1.0	1.0	1898	0.0035751919313563	678	0.357218124341412	0.002112352497364
backbone_balanced	removed	EOG092603YJ			stable	1.0	0.9285714285714286	1767	0.0018719254712463	823	0.4657611771363893	0.0033756803713369
backbone_balanced	removed	EOG092609O9			stable	1.0	1.0	1835	0.0035033086804203	773	0.4212534059945504	0.003009633333073
backbone_balanced	added	EOG09261HB6			signal_preserved	0.91660777385159	1.0	504	0.0025510204081632	199	0.3948412698412698	0.0048611374666775
backbone_balanced	added	EOG09262JZK			stable	1.0	1.0	361	0.001978630787495	113	0.3130193905817174	0.004350946981803
backbone_balanced	added	EOG09262SI7			stable	1.0	1.0	543	0.0019731649565903	288	0.5303867403314917	0.0057541479025703
core_complete	removed	EOG092602I6			stable	1.0	1.0	1898	0.0035751919313563	678	0.357218124341412	0.002112352497364
core_complete	removed	EOG092609O9			stable	1.0	1.0	1835	0.0035033086804203	773	0.4212534059945504	0.003009633333073
core_complete	removed	EOG09260BSW			stable	1.0	1.0	1089	0.0063623245441427	357	0.3278236914600551	0.0029901710444163
core_complete	added	EOG09263BGW			stable	1.0	1.0	577	0.0060658578856152	207	0.3587521663778163	0.0045259260743135
core_complete	added	EOG09263UQF			stable	1.0	1.0	406	0.0058057705840957	156	0.3842364532019704	0.0051137373526093
core_complete	added	EOG09264SSI			stable	1.0	1.0	218	0.0062254259501965	84	0.3853211009174312	0.006370241264924
deep_robust	removed	EOG092603YJ			stable	1.0	0.9285714285714286	1767	0.0018719254712463	823	0.4657611771363893	0.0033756803713369
deep_robust	removed	EOG09260779			stable	1.0	1.0	1394	0.0013834802213568	733	0.5258249641319943	0.0035925381924847
deep_robust	added	EOG09261HB6			signal_preserved	0.91660777385159	1.0	504	0.0025510204081632	199	0.3948412698412698	0.0048611374666775
deep_robust	added	EOG09263UQF			stable	1.0	1.0	406	0.0058057705840957	156	0.3842364532019704	0.0051137373526093
diverse_rate	removed	EOG092603YJ			stable	1.0	0.9285714285714286	1767	0.0018719254712463	823	0.4657611771363893	0.0033756803713369
diverse_rate	removed	EOG09260EOI			signal_preserved	0.9541021227768216	1.0	1543	0.0126840107397463	763	0.4944912508101102	0.0032635988634359
diverse_rate	added	EOG0926051U			stable	1.0	1.0	1798	0.0092165898617511	1161	0.6457174638487208	0.0038735047046961
diverse_rate	added	EOG0926420U			stable	1.0	1.0	362	0.0023677979479084	158	0.43646408839779	0.0072996241016142
information_only	removed	EOG09261DG0			signal_preserved	0.9664436438497168	1.0	1335	0.028143392188336	858	0.6426966292134831	0.0048640099093357
information_only	added	EOG09260JNY			extreme	0.2485319945653974	1.0	754	0.0422508525956801	530	0.7029177718832891	0.0052014978838881
low_bias	removed	EOG092602OP			stable	1.0	1.0	1585	0.0067598017124831	701	0.4422712933753943	0.0030249095986609
low_bias	removed	EOG092603YJ			stable	1.0	0.9285714285714286	1767	0.0018719254712463	823	0.4657611771363893	0.0033756803713369
low_bias	removed	EOG09260BSW			stable	1.0	1.0	1089	0.0063623245441427	357	0.3278236914600551	0.0029901710444163
low_bias	removed	EOG09260GF5			stable	1.0	1.0	1619	0.0082061237095208	628	0.3878937615812229	0.002933009290408
low_bias	added	EOG092604ML			signal_preserved	0.9294938917975568	1.0	1652	0.0037616741611898	1019	0.6168280871670703	0.0033960113657049
low_bias	added	EOG09261HB6			signal_preserved	0.91660777385159	1.0	504	0.0025510204081632	199	0.3948412698412698	0.0048611374666775
low_bias	added	EOG09263UQF			stable	1.0	1.0	406	0.0058057705840957	156	0.3842364532019704	0.0051137373526093
low_bias	added	EOG0926420U			stable	1.0	1.0	362	0.0023677979479084	158	0.43646408839779	0.0072996241016142
occupancy_only	removed	EOG092642UD			stable	1.0	1.0	404	0.0049504950495049	206	0.5099009900990099	0.0063297447689535
occupancy_only	removed	EOG09264PMA			signal_preserved	0.9315315315315316	1.0	230	0.0046583850931677	146	0.6347826086956522	0.0088793174949822
occupancy_only	added	EOG09261HB6			signal_preserved	0.91660777385159	1.0	504	0.0025510204081632	199	0.3948412698412698	0.0048611374666775
occupancy_only	added	EOG092646CB			stable	1.0	1.0	534	0.0081594435527019	213	0.398876404494382	0.0048219483822966
