gene_id	eligible_untrimmed	eligible_trimmed	gap_untrimmed	gap_trimmed	length_untrimmed	length_trimmed	pis_untrimmed	pis_trimmed	occupancy_untrimmed	occupancy_trimmed	became_eligible	became_excluded	retained_length_fraction	pis_retained_fraction
EOG0926004Z	True	True	0.1929625156875281	0.0372962412154083	6033	4899	3051	3019	1.0	1.0	False	False	0.8120338140228742	0.9895116355293346
EOG09260075	True	True	0.1237099402498642	0.0021617726535759	3682	3172	950	930	1.0	1.0	False	False	0.8614883215643672	0.9789473684210527
EOG0926009O	True	True	0.0618375386924303	0.0203755392032479	3046	2815	1775	1690	1.0	1.0	False	False	0.9241628365068942	0.952112676056338
EOG092600NM	True	True	0.238481780473663	0.0002124044180118	3203	2354	167	167	1.0	1.0	False	False	0.7349359975023415	1.0
EOG092600S9	True	True	0.2360100727476217	0.0365011872549561	3574	2587	1585	1456	1.0	1.0	False	False	0.7238388360380527	0.9186119873817035
EOG092600SD	True	True	0.2705264168146264	0.0943932744019286	2977	2311	1070	1063	1.0	1.0	False	False	0.7762848505206584	0.9934579439252337
EOG092600SK	True	True	0.3053960277578368	0.004780530204259	3582	2301	1348	1300	1.0	1.0	False	False	0.6423785594639866	0.9643916913946587
EOG092600T4	True	True	0.2088519724243585	0.0021082441787287	2984	2270	584	569	1.0	1.0	False	False	0.7607238605898123	0.9743150684931506
EOG092600T9	True	True	0.0302098173811682	0.0004016601954746	2206	2134	344	343	1.0	1.0	False	False	0.9673617407071623	0.997093023255814
EOG092600W1	True	True	0.1424506828528073	0.0047299456695429	2636	2235	645	640	1.0	1.0	False	False	0.8478755690440061	0.9922480620155039
EOG092600X0	True	True	0.169296788482835	0.0194622792937399	3096	2492	1313	1243	1.0	1.0	False	False	0.8049095607235142	0.9466869763899467
EOG092600XJ	True	True	0.2968051118210862	0.0159155812495646	3130	2051	943	881	1.0	1.0	False	False	0.6552715654952077	0.9342523860021209
EOG092601KZ	True	True	0.44415289925494	0.0034686536485097	2205	1112	389	376	1.0	1.0	False	False	0.5043083900226757	0.9665809768637532
EOG092601YK	True	True	0.0972265261853114	0.0226780009128251	2766	2504	1245	1225	1.0	1.0	False	False	0.9052783803326103	0.9839357429718876
EOG0926025H	True	True	0.473116506135374	0.0364372469635627	2332	874	802	558	0.9285714285714286	0.9285714285714286	False	False	0.3747855917667238	0.6957605985037406
EOG09260274	True	True	0.1206552933673469	0.0270408163265306	1792	1540	1073	1032	1.0	1.0	False	False	0.859375	0.961789375582479
EOG09260289	True	True	0.2882914070313101	0.0309674502712477	1857	1264	668	647	1.0	1.0	False	False	0.6806677436725902	0.968562874251497
EOG092602BZ	True	True	0.3824784276126558	0.0037144564938946	2980	1673	401	397	1.0	1.0	False	False	0.5614093959731543	0.9900249376558603
EOG092602FH	True	True	0.2498987546825959	0.1998790278236005	2822	2598	943	943	1.0	1.0	False	False	0.920623671155209	1.0
EOG092602I6	True	True	0.0377875531838177	0.0035751919313563	1981	1898	686	678	1.0	1.0	False	False	0.9581019687026754	0.9883381924198251
EOG092602MO	True	True	0.3219458438287154	0.0222794446932377	3176	1914	1363	1133	1.0	1.0	False	False	0.6026448362720404	0.8312545854732208
EOG092602OP	True	True	0.0784224466147988	0.0067598017124831	1726	1585	703	701	1.0	1.0	False	False	0.9183082271147162	0.9971550497866287
EOG092602UY	True	True	0.1110452047952048	0.0048898869892784	2288	1972	782	743	1.0	1.0	False	False	0.8618881118881119	0.9501278772378516
EOG09260375	True	True	0.0487498838181987	0.0012340803633132	1537	1447	491	482	1.0	1.0	False	False	0.9414443721535458	0.9816700610997964
EOG092603D0	True	True	0.4764176097647686	0.025541893776144	2411	1127	647	621	1.0	1.0	False	False	0.46744089589382	0.9598145285935085
EOG092603EH	True	True	0.0415124988719429	0.013894069377098	1583	1532	489	488	1.0	1.0	False	False	0.9677826910928616	0.9979550102249489
EOG092603JK	True	True	0.2695388723426106	0.0443594986220997	2782	1607	1473	1062	1.0	1.0	False	False	0.5776419841840402	0.7209775967413442
EOG092603KJ	True	True	0.2497822299651567	0.0123817819810851	1640	1148	379	374	1.0	1.0	False	False	0.7	0.9868073878627969
EOG092603SM	True	True	0.1875358577165806	0.0191726914981239	1992	1561	902	855	1.0	1.0	False	False	0.7836345381526104	0.9478935698447893
EOG092603YJ	True	True	0.0445711005412498	0.0018719254712463	1876	1767	840	823	0.9285714285714286	0.9285714285714286	False	False	0.9418976545842217	0.9797619047619047
EOG0926047G	True	True	0.0447042027304363	0.0031464262233493	1601	1521	461	456	1.0	1.0	False	False	0.9500312304809494	0.9891540130151844
EOG09260492	True	True	0.0600744532340623	0.0069204152249134	1535	1445	523	522	1.0	1.0	False	False	0.9413680781758957	0.9980879541108987
EOG0926049A	True	True	0.0509375	0.0042044911610129	1600	1495	688	666	1.0	1.0	False	False	0.934375	0.9680232558139535
EOG0926049S	True	True	0.2520960052605622	0.0659803297247576	2607	2019	1161	1156	1.0	1.0	False	False	0.7744533947065593	0.9956933677863911
EOG092604A0	True	True	0.2989321998755961	0.0098494554772581	2756	1784	1227	1113	1.0	1.0	False	False	0.6473149492017417	0.9070904645476773
EOG092604I8	True	True	0.38250692947336	0.0105159529243298	3247	1719	1128	1042	0.9285714285714286	0.9285714285714286	False	False	0.5294117647058824	0.9237588652482269
EOG092604KQ	True	True	0.3985664917445283	0.0248799906334152	2404	1314	768	691	0.9285714285714286	0.9285714285714286	False	False	0.5465890183028286	0.8997395833333334
EOG092604MJ	True	True	0.2346241457858769	0.0370945479641131	2195	1656	1104	1088	1.0	1.0	False	False	0.7544419134396355	0.9855072463768116
EOG092604ML	True	True	0.2755636285927983	0.0037616741611898	2674	1652	1197	1019	1.0	1.0	False	False	0.6178010471204188	0.8512949039264829
EOG092604S1	True	True	0.1564237775647171	0.0565384615384615	1490	1300	766	754	1.0	1.0	False	False	0.87248322147651	0.9843342036553525
EOG092604ZZ	True	True	0.0336648814078041	0.0073231185218566	1307	1268	694	693	1.0	1.0	False	False	0.9701606732976281	0.9985590778097982
EOG0926051U	True	True	0.0628407139123291	0.0092165898617511	1913	1798	1162	1161	1.0	1.0	False	False	0.9398849973863043	0.9991394148020654
EOG092605FC	True	True	0.1487842865795621	0.0044280442804428	1651	1355	481	451	1.0	1.0	False	False	0.8207147183525136	0.9376299376299376
EOG092605KN	True	True	0.3898305084745763	0.2020230560578662	1711	1264	388	388	1.0	1.0	False	False	0.7387492694330801	1.0
EOG092605OK	True	True	0.5232497387669801	0.0244327356165547	3828	1681	718	689	1.0	1.0	False	False	0.4391327063740857	0.9596100278551533
EOG092605QM	True	True	0.173170731707317	0.0255384859043395	2255	1804	1166	1084	1.0	1.0	False	False	0.8	0.9296740994854202
EOG092605T6	True	True	0.2349949688613309	0.0032664929572146	5253	3783	1417	1370	1.0	1.0	False	False	0.7201599086236437	0.9668313338038109
EOG092605VL	True	True	0.1317853298477625	0.0197022767075306	2787	2284	1393	1273	1.0	1.0	False	False	0.819519196268389	0.9138549892318737
EOG092605VU	True	True	0.3069202530656877	0.0563346802947468	1829	1202	664	595	1.0	1.0	False	False	0.6571897211591033	0.8960843373493976
EOG092605ZA	True	True	0.3203756127874059	0.0937925907570313	2069	1153	1047	743	1.0	1.0	False	False	0.5572740454325761	0.7096466093600764
EOG092606AD	True	True	0.3705113192818111	0.0176785714285714	732	400	292	258	1.0	1.0	False	False	0.546448087431694	0.8835616438356164
EOG092606AJ	True	True	0.2649755229194481	0.0120830711139081	1605	1135	459	438	1.0	1.0	False	False	0.7071651090342679	0.954248366013072
EOG092606CY	True	True	0.2512923607122344	0.0009644842845795	1741	1259	449	445	1.0	1.0	False	False	0.723147616312464	0.9910913140311804
EOG092606O3	True	True	0.2992162022999027	0.006128614587829	2497	1655	790	755	1.0	1.0	False	False	0.6627953544253103	0.9556962025316456
EOG092606UX	True	True	0.1917665667665667	0.0032299057502912	1716	1349	720	711	1.0	1.0	False	False	0.7861305361305362	0.9875
EOG092606WZ	True	True	0.2209628225208144	0.0030266343825665	1733	1298	766	755	1.0	1.0	False	False	0.7489901904212348	0.9856396866840731
EOG0926071Q	True	True	0.3373954311454311	0.015473032714412	1776	1131	640	625	1.0	1.0	False	False	0.6368243243243243	0.9765625
EOG0926073O	True	True	0.3035444540353906	0.0055444858355713	2648	1649	661	621	1.0	1.0	False	False	0.6227341389728097	0.9394856278366112
EOG0926074Y	True	True	0.0992967355935761	0.0005295363614968	1361	1214	231	230	1.0	1.0	False	False	0.8919911829537105	0.9956709956709957
EOG09260779	True	True	0.0244727417429367	0.0015873015873015	1436	1395	738	735	1.0	1.0	False	False	0.9714484679665738	0.9959349593495935
EOG0926077L	True	True	0.1172075437727866	0.0138566912539515	1709	1460	995	943	0.9285714285714286	0.9285714285714286	False	False	0.8543007606787595	0.9477386934673366
EOG0926079Q	True	True	0.0723576347141764	0.0023448773448773	1307	1188	319	308	1.0	1.0	False	False	0.9089517980107116	0.9655172413793104
EOG092607OQ	True	True	0.0088335088335088	0.0	1221	1209	203	203	1.0	1.0	False	False	0.9901719901719902	1.0
EOG092607QZ	True	True	0.0194394213381555	0.0013876040703052	1106	1081	378	376	1.0	1.0	False	False	0.9773960216998192	0.9947089947089947
EOG092607ZS	True	True	0.3678641594162223	0.0091185410334346	2545	1504	641	597	1.0	1.0	False	False	0.5909626719056974	0.9313572542901716
EOG092608AE	True	True	0.2619284294234592	0.0275495892606692	3018	2139	1221	1127	1.0	1.0	False	False	0.7087475149105368	0.923013923013923
EOG092608AV	True	True	0.3305015631371483	0.009068425391591	2102	1213	562	477	1.0	1.0	False	False	0.577069457659372	0.8487544483985765
EOG092608C4	True	True	0.3345565025252525	0.0087325349301397	2112	1336	553	540	0.8571428571428571	0.8571428571428571	False	False	0.6325757575757576	0.976491862567812
EOG092608GK	True	True	0.1554801311875524	0.0181996086105675	1873	1460	778	670	1.0	1.0	False	False	0.7794981313400962	0.8611825192802056
EOG092608L0	True	True	0.3602638941660046	0.0133325141312361	2227	1252	294	278	0.9285714285714286	0.9285714285714286	False	False	0.5621912887292322	0.9455782312925171
EOG092608RH	True	True	0.370330265295073	0.0182072829131652	1847	1122	676	673	1.0	1.0	False	False	0.607471575527883	0.9955621301775148
EOG092608T8	True	True	0.0199613284804367	0.0011060658982419	1256	1227	169	165	1.0	1.0	False	False	0.9769108280254777	0.9763313609467456
EOG092608WI	True	True	0.1058730158730158	0.0209490156486622	1350	1132	578	478	1.0	1.0	False	False	0.8385185185185186	0.8269896193771626
EOG092608WU	True	True	0.1154332700822264	0.0009949727691663	1581	1364	459	450	1.0	1.0	False	False	0.8627450980392157	0.9803921568627451
EOG092608ZS	True	True	0.0888674388674388	0.0095735422106179	1295	1149	463	429	0.8571428571428571	0.8571428571428571	False	False	0.8872586872586873	0.9265658747300216
EOG0926092K	True	True	0.5776725594232553	0.0023526056890283	3233	1079	280	280	0.9285714285714286	0.9285714285714286	False	False	0.33374574698422516	1.0
EOG09260931	True	True	0.424812030075188	0.0015045135406218	1862	997	462	459	1.0	1.0	False	False	0.5354457572502686	0.9935064935064936
EOG092609JB	True	True	0.4558806655192197	0.0223964956902642	2490	1011	677	595	1.0	1.0	False	False	0.40602409638554215	0.8788774002954209
EOG092609O9	True	True	0.1742857142857143	0.0035033086804203	2275	1835	784	773	1.0	1.0	False	False	0.8065934065934066	0.985969387755102
EOG092609RF	True	True	0.1436279547790339	0.0246253746253746	1668	1430	645	636	1.0	1.0	False	False	0.8573141486810552	0.986046511627907
EOG092609YT	True	True	0.3991903891355445	0.0139247034553893	2188	1108	543	445	1.0	1.0	False	False	0.506398537477148	0.8195211786372008
EOG09260A27	True	True	0.453564398200225	0.0378648991679593	2032	1013	534	485	1.0	1.0	False	False	0.4985236220472441	0.9082397003745318
EOG09260A6Q	True	True	0.2702829085807809	0.0163826998689384	1833	1308	575	568	1.0	1.0	False	False	0.7135842880523732	0.9878260869565217
EOG09260A98	True	True	0.0908088235294117	0.0206766917293233	1360	1216	607	570	1.0	1.0	False	False	0.8941176470588236	0.9390444810543658
EOG09260ABY	True	True	0.4772009029345372	0.0008010680907877	2215	1070	195	192	1.0	1.0	False	False	0.48306997742663654	0.9846153846153847
EOG09260AEC	True	True	0.0451428571428571	0.0069124423963133	750	713	232	228	1.0	1.0	False	False	0.9506666666666667	0.9827586206896551
EOG09260APA	True	True	0.2160690187005976	0.0555813234384662	1482	924	850	586	1.0	1.0	False	False	0.6234817813765182	0.6894117647058824
EOG09260AQB	True	True	0.3191297753341549	0.0006526468455402	1507	985	258	253	1.0	1.0	False	False	0.6536164565361645	0.9806201550387597
