gene_id	eligible_untrimmed	eligible_trimmed	gap_untrimmed	gap_trimmed	length_untrimmed	length_trimmed	pis_untrimmed	pis_trimmed	occupancy_untrimmed	occupancy_trimmed	became_eligible	became_excluded	retained_length_fraction	pis_retained_fraction
EOG09261I8J	False	False	0.5999812549791461	0.00150489089541	7113	443	0	0	0.2142857142857142	0.2142857142857142	False	False	0.0622803317868691	
EOG092654XA	False	True	0.7578754578754578	0.0196078431372549	1260	102	82	36	0.9285714285714286	0.9285714285714286	True	False	0.0809523809523809	0.4390243902439024
EOG09265CQO	False	True	0.804397559735638	0.0015306122448979	1686	140	3	3	1.0	1.0	True	False	0.0830367734282325	1.0
EOG09265HPJ	False	True	0.708237643534698	0.0021978021978021	2003	182	79	77	0.7142857142857143	0.7142857142857143	True	False	0.090863704443335	0.9746835443037974
EOG09264ZWF	False	True	0.8363844393592678	0.0028315243039169	1748	163	39	37	0.9285714285714286	0.9285714285714286	True	False	0.0932494279176201	0.9487179487179488
EOG09265BG5	False	True	0.8306237218813906	0.0	1630	153	28	28	0.8571428571428571	0.8571428571428571	True	False	0.0938650306748466	1.0
EOG09262F7P	False	True	0.7817252141576466	0.0082923832923832	2738	296	187	135	0.7857142857142857	0.7857142857142857	True	False	0.1081081081081081	0.7219251336898396
EOG09264HX6	False	True	0.7695862068965518	0.0828220858895705	1450	163	125	87	0.7142857142857143	0.7142857142857143	True	False	0.1124137931034482	0.696
EOG09263C4C	False	True	0.7234790654637983	0.0296174413821472	1965	221	224	107	0.7857142857142857	0.7857142857142857	True	False	0.1124681933842239	0.4776785714285714
EOG092651K1	False	True	0.6354002727940405	0.0406301824212272	1059	134	53	37	0.6428571428571429	0.6428571428571429	True	False	0.1265344664778092	0.6981132075471698
EOG092643JW	False	True	0.709841628959276	0.0102993241068554	1768	239	197	109	0.9285714285714286	0.9285714285714286	True	False	0.1351809954751131	0.5532994923857868
EOG09265FGA	False	True	0.781452922077922	0.008893280632411	1344	184	45	42	0.7857142857142857	0.7857142857142857	True	False	0.1369047619047619	0.9333333333333332
EOG09264E6Z	False	True	0.7458874458874459	0.0126929674099485	1890	265	156	147	0.7857142857142857	0.7857142857142857	True	False	0.1402116402116402	0.9423076923076924
EOG09265RGS	False	True	0.7946347180622477	0.0254464285714285	1097	160	67	67	1.0	1.0	True	False	0.145852324521422	1.0
EOG09262IY3	False	True	0.7089168836652826	0.0221445221445221	2186	330	330	178	0.9285714285714286	0.9285714285714286	True	False	0.1509606587374199	0.5393939393939394
EOG09263W7L	False	True	0.7779901258162127	0.02252892226507	2415	379	154	149	0.9285714285714286	0.9285714285714286	True	False	0.156935817805383	0.9675324675324676
EOG092646VF	False	True	0.7737280989412536	0.0175489909330213	1642	263	90	85	0.9285714285714286	0.9285714285714286	True	False	0.1601705237515225	0.9444444444444444
EOG092658WS	False	True	0.7744810744810745	0.0360942249240121	1170	188	88	78	1.0	1.0	True	False	0.1606837606837607	0.8863636363636364
EOG09264EGS	False	True	0.7068225891755303	0.0594239883339409	1309	211	191	94	0.9285714285714286	0.9285714285714286	True	False	0.1611917494270435	0.4921465968586387
EOG09264T1U	False	True	0.7173008988060636	0.0143398268398268	2033	336	97	101	0.7857142857142857	0.7857142857142857	True	False	0.1652729955730447	1.041237113402062
EOG09264UJF	False	True	0.7480577136514983	0.0017316017316017	901	165	96	94	1.0	1.0	True	False	0.1831298557158712	0.9791666666666666
EOG0926587S	False	True	0.6047561187293873	0.0898770104068117	823	151	82	45	0.5	0.5	True	False	0.1834750911300121	0.5487804878048781
EOG092640WA	False	True	0.7310668877833056	0.0544294294294294	1608	296	116	115	0.6428571428571429	0.6428571428571429	True	False	0.1840796019900497	0.9913793103448276
EOG09264ENO	False	True	0.7329115185332802	0.0305084745762711	1544	295	170	154	0.9285714285714286	0.9285714285714286	True	False	0.1910621761658031	0.9058823529411764
EOG09264JW6	False	True	0.7314995899312347	0.0072463768115942	1441	276	88	83	0.7857142857142857	0.7857142857142857	True	False	0.1915336571825121	0.9431818181818182
EOG09262914	False	True	0.750073335288941	0.013648771610555	2435	471	136	133	1.0	1.0	True	False	0.1934291581108829	0.9779411764705882
EOG09260KM4	False	True	0.6224926905555178	0.0043448036148766	2101	411	240	227	1.0	1.0	True	False	0.1956211327939076	0.9458333333333332
